gender,category,style,color,season,usage
Men,Topwear,Shirts,Navy Blue,Fall,Casual
Men,Bottomwear,Jeans,Blue,Summer,Casual
Men,Topwear,Tshirts,Grey,Summer,Casual
Men,Topwear,Tshirts,Grey,Summer,Casual
Women,Topwear,Shirts,Purple,Summer,Casual
Men,Topwear,Shirts,Purple,Fall,Formal
Women,Topwear,Tops,White,Summer,Casual
Men,Topwear,Sweatshirts,Grey,Fall,Sports
Men,Topwear,Tshirts,Navy Blue,Fall,Sports
Men,Topwear,Shirts,Navy Blue,Summer,Formal
Men,Topwear,Tshirts,Green,Summer,Casual
Men,Topwear,Shirts,Brown,Summer,Casual
Women,Topwear,Tshirts,Pink,Summer,Casual
Men,Bottomwear,Shorts,Black,Summer,Sports
Men,Topwear,Shirts,Red,Fall,Formal
Men,Topwear,Tshirts,Black,Summer,Casual
Women,Topwear,Tshirts,Purple,Summer,Casual
Men,Topwear,Shirts,White,Summer,Casual
Men,Topwear,Tshirts,Red,Fall,Casual
Men,Topwear,Tshirts,Black,Fall,Casual
Men,Bottomwear,Shorts,Blue,Summer,Casual
Men,Topwear,Shirts,Pink,Fall,Casual
Women,Topwear,Tshirts,Black,Fall,Sports
Men,Topwear,Sweatshirts,Blue,Fall,Casual
Men,Topwear,Tshirts,Red,Fall,Casual
Women,Topwear,Tops,Green,Summer,Casual
Men,Topwear,Tshirts,Pink,Summer,Casual
Women,Topwear,Tops,Off White,Summer,Casual
Men,Topwear,Tshirts,Black,Summer,Casual
Women,Dress,Dresses,Blue,Summer,Casual
Men,Topwear,Tshirts,Black,Summer,Casual
Women,Bottomwear,Skirts,Blue,Summer,Sports
Women,Topwear,Tops,Black,Summer,Casual
Men,Topwear,Tshirts,White,Fall,Casual
Men,Topwear,Shirts,Yellow,Fall,Casual
Men,Topwear,Shirts,White,Fall,Casual
Women,Bottomwear,Jeans,Black,Summer,Casual
Men,Topwear,Tshirts,Blue,Fall,Casual
Men,Topwear,Shirts,Green,Fall,Casual
Men,Topwear,Sweatshirts,Blue,Fall,Casual
Men,Topwear,Tshirts,Black,Fall,Sports
Men,Topwear,Shirts,Red,Fall,Casual
Men,Topwear,Tshirts,Black,Fall,Casual
Men,Topwear,Shirts,Black,Summer,Casual
Men,Topwear,Tshirts,Black,Summer,Casual
Men,Topwear,Tshirts,Yellow,Fall,Casual
Men,Topwear,Tshirts,Purple,Summer,Casual
Men,Topwear,Tshirts,Navy Blue,Fall,Casual
Men,Topwear,Tshirts,Navy Blue,Summer,Casual
Women,Topwear,Sweatshirts,Black,Fall,Casual
Men,Topwear,Shirts,Blue,Fall,Casual
Women,Topwear,Tops,Blue,Summer,Casual
Men,Topwear,Shirts,Black,Fall,Casual
Men,Topwear,Tshirts,Black,Summer,Casual
Women,Topwear,Tops,Blue,Summer,Casual
Women,Topwear,Tops,Beige,Fall,Casual
Women,Bottomwear,Shorts,Pink,Fall,Sports
Men,Topwear,Tshirts,Blue,Fall,Casual
Men,Topwear,Tshirts,Navy Blue,Summer,Casual
Women,Topwear,Tops,Pink,Fall,Casual
Women,Topwear,Tshirts,Grey,Fall,Casual
Women,Bottomwear,Jeans,Black,Fall,Casual
Men,Topwear,Tshirts,Navy Blue,Summer,Casual
Men,Bottomwear,Shorts,Black,Fall,Casual
Women,Topwear,Tshirts,Black,Summer,Casual
Women,Topwear,Tops,Purple,Fall,Casual
Women,Bottomwear,Jeans,Navy Blue,Summer,Casual
Women,Topwear,Tops,Blue,Summer,Casual
Men,Topwear,Tshirts,White,Summer,Casual
Women,Topwear,Tops,White,Fall,Casual
Women,Topwear,Tops,Black,Summer,Casual
Women,Topwear,Tops,Pink,Summer,Casual
Men,Topwear,Shirts,Red,Fall,Casual
Men,Topwear,Shirts,Purple,Fall,Casual
Women,Topwear,Tunics,White,Summer,Casual
Women,Topwear,Jackets,Cream,Summer,Casual
Men,Topwear,Shirts,Blue,Fall,Casual
Women,Topwear,Tops,Purple,Summer,Casual
Women,Topwear,Tops,Blue,Summer,Casual
Men,Topwear,Tshirts,Yellow,Summer,Casual
Men,Topwear,Tshirts,Navy Blue,Fall,Casual
Men,Topwear,Tshirts,White,Summer,Casual
Women,Topwear,Tops,White,Fall,Casual
Women,Topwear,Tops,Pink,Summer,Casual
Men,Topwear,Tshirts,Olive,Fall,Casual
Women,Topwear,Tops,Yellow,Summer,Casual
Men,Topwear,Tshirts,White,Fall,Casual
Men,Topwear,Shirts,Green,Fall,Casual
